run,final_queries,mean_final_energy,iterations,final_even_parity,final_all_ones,final_diversity
0,18,0.4859614242841772,18,0.6030000000000001,0.0,0.8548842728525315
1,22,0.3806709112469475,22,0.52,0.0,0.6220127337408424
2,14,0.3614674617848419,14,0.527,0.0,0.5574023853545257
3,14,0.44827941774727176,14,0.4930000000000001,0.0,0.8518382532418153
4,17,0.38487366657897465,17,0.512,0.0,0.6426209997369238
5,12,0.41162894337192873,12,0.51,0.0,0.7248868301157864
6,15,0.3034757421785929,15,0.4920000000000001,0.0,0.4184272265357785
7,18,0.4540357019257255,18,0.4960000000000001,0.0,0.8661071057771764
8,16,0.27418643027984285,16,0.44100000000000006,0.0,0.38155929083952844
9,17,0.4701318365436742,17,0.505,0.0,0.9053955096310226
